Name,Age,City
Laura,48,San Diego
George,57,New York
Charlie,30,San Jose
Paula,31,Houston
Oscar,27,Los Angeles
Mike,54,San Jose
Quinn,51,San Diego
Mike,64,Chicago
Julia,37,Houston
Laura,45,Dallas
Kevin,57,San Jose
Ian,29,Chicago
Ethan,33,San Diego
Kevin,60,New York
Mike,58,San Antonio
Paula,36,Phoenix
Diana,49,New York
Quinn,50,New York
Alice,29,Los Angeles
Ian,52,Phoenix
George,41,Phoenix
George,33,Los Angeles
Bob,59,Los Angeles
George,48,New York
Charlie,58,San Diego
Fiona,63,Los Angeles
Ethan,42,Dallas
Diana,45,Dallas
George,23,Phoenix
George,41,San Antonio
Oscar,57,Chicago
Nina,67,Dallas
Diana,69,Philadelphia
Ethan,20,Chicago
Julia,23,New York
Ian,23,San Antonio
Tina,29,San Jose
Nina,57,Philadelphia
Alice,22,San Antonio
George,57,Dallas
Alice,29,Phoenix
Nina,63,Philadelphia
Fiona,65,San Jose
Oscar,70,San Antonio
George,63,Los Angeles
Rachel,67,Dallas
Paula,48,Los Angeles
Fiona,59,San Antonio
Hannah,52,Houston
Oscar,29,Dallas
Alice,60,San Jose
Rachel,64,Los Angeles
Charlie,20,San Antonio
Rachel,63,Chicago
Kevin,46,Philadelphia
Tina,25,Houston
Nina,30,San Diego
Laura,26,Houston
Tina,54,Houston
Rachel,47,Los Angeles
Fiona,66,New York
Laura,43,Philadelphia
Quinn,54,Philadelphia
Bob,50,Phoenix
George,52,Chicago
Julia,62,New York
Bob,54,San Antonio
Quinn,69,Phoenix
Quinn,43,New York
Laura,38,Houston
Paula,40,New York
Mike,38,New York
Fiona,30,Chicago
Fiona,32,Los Angeles
Rachel,22,San Jose
Paula,70,New York
Quinn,33,Los Angeles
Nina,42,Philadelphia
Alice,67,San Diego
Bob,44,Philadelphia
George,62,Houston
Bob,40,Dallas
Steve,38,Houston
Charlie,41,Houston
Charlie,60,New York
Laura,52,New York
Nina,47,Phoenix
George,61,New York
Tina,55,Dallas
Rachel,66,Phoenix
Alice,46,Philadelphia
Fiona,23,Chicago
Fiona,58,Chicago
Alice,30,Dallas
Oscar,68,Philadelphia
Hannah,39,San Antonio
Julia,49,Philadelphia
Hannah,24,Dallas
Laura,49,Chicago
Fiona,49,San Antonio
