Name,Age,City
Rachel,49,San Diego
Nina,46,San Diego
Paula,50,Los Angeles
Hannah,70,San Diego
Ian,51,San Diego
Alice,44,Dallas
George,20,Philadelphia
Diana,35,New York
Mike,52,New York
Quinn,60,Phoenix
George,43,San Antonio
Charlie,30,Chicago
Ethan,42,Dallas
George,45,Los Angeles
Alice,28,Los Angeles
Oscar,70,Chicago
Nina,68,Chicago
Nina,50,San Antonio
Kevin,56,Philadelphia
Oscar,25,San Diego
Quinn,53,Dallas
Ian,30,San Jose
Julia,31,Philadelphia
Steve,66,San Diego
Rachel,45,San Diego
Mike,38,Dallas
Mike,21,New York
Alice,32,Chicago
Ethan,66,Chicago
Tina,26,New York
Alice,45,San Jose
Laura,57,Phoenix
Diana,47,New York
Nina,69,San Antonio
Ethan,66,San Diego
Alice,29,Philadelphia
Rachel,58,Houston
Paula,29,Chicago
Quinn,38,New York
Hannah,37,San Jose
Ian,58,Houston
Quinn,28,New York
Mike,36,Houston
Tina,34,San Antonio
Tina,23,Chicago
George,46,Houston
Julia,23,New York
Nina,35,Chicago
Alice,66,San Antonio
Ethan,44,San Diego
Laura,44,New York
Paula,22,Phoenix
Mike,39,Phoenix
Oscar,39,Houston
Kevin,23,Los Angeles
Rachel,46,Dallas
Tina,51,Dallas
Laura,46,San Jose
Ian,56,San Antonio
Tina,35,New York
Mike,26,Houston
Hannah,70,Houston
Hannah,67,San Antonio
Tina,70,Los Angeles
Nina,66,Los Angeles
Mike,60,Houston
Quinn,32,San Antonio
Ian,36,Houston
Diana,46,Phoenix
Laura,53,Philadelphia
Laura,59,Los Angeles
Hannah,44,San Antonio
Nina,49,San Antonio
Paula,65,Chicago
Nina,58,New York
Rachel,37,Chicago
Steve,58,San Jose
Fiona,69,Phoenix
Rachel,32,Houston
Kevin,43,San Antonio
George,53,Los Angeles
Charlie,51,San Jose
Julia,69,Los Angeles
Diana,23,Philadelphia
Julia,51,Chicago
Ethan,57,San Jose
Rachel,40,New York
Mike,46,San Diego
Julia,52,Houston
Mike,38,New York
Hannah,50,Philadelphia
Julia,65,San Jose
Ethan,35,Los Angeles
Rachel,45,San Antonio
Kevin,53,New York
Quinn,36,New York
Steve,69,Los Angeles
Rachel,58,Phoenix
Mike,31,Phoenix
Mike,42,Chicago
