Name,Age,City
Charlie,38,Philadelphia
Mike,60,Dallas
Steve,30,Dallas
Kevin,28,Philadelphia
Nina,35,Philadelphia
Ian,29,Chicago
Rachel,32,Philadelphia
Diana,55,San Jose
Oscar,36,New York
Steve,32,Philadelphia
Charlie,50,San Jose
Charlie,30,Dallas
Ethan,28,Phoenix
Mike,33,San Diego
Rachel,68,San Diego
Ethan,44,San Diego
Ian,40,Dallas
Julia,31,San Antonio
Steve,43,Phoenix
George,38,Dallas
Ian,47,Los Angeles
Kevin,64,Dallas
Ian,50,San Antonio
Julia,67,Los Angeles
Oscar,48,Philadelphia
Ethan,47,New York
Rachel,55,San Diego
Steve,54,San Diego
Kevin,21,Los Angeles
Bob,63,Dallas
Ethan,42,San Diego
Laura,42,Philadelphia
Laura,35,Dallas
Steve,56,San Antonio
Bob,29,Dallas
Tina,63,Houston
Alice,22,Houston
Kevin,41,Phoenix
Nina,35,San Antonio
Hannah,54,San Diego
Hannah,41,San Diego
Mike,40,Phoenix
Laura,68,San Antonio
Steve,60,Dallas
Ian,48,New York
Quinn,22,San Diego
Fiona,50,San Diego
George,42,San Antonio
Alice,56,Houston
Laura,36,San Antonio
Diana,56,Dallas
Rachel,53,Los Angeles
Hannah,31,San Antonio
Ethan,68,New York
Mike,34,Los Angeles
Laura,49,New York
Diana,69,San Diego
Julia,37,San Diego
Ian,32,New York
Laura,67,Philadelphia
Ethan,40,Dallas
Rachel,22,Philadelphia
Hannah,30,San Jose
Hannah,69,Phoenix
Oscar,44,Houston
Tina,23,Philadelphia
Oscar,52,Houston
Hannah,47,Dallas
Quinn,25,San Jose
Alice,29,Chicago
Laura,21,Phoenix
Mike,32,San Antonio
Paula,64,Chicago
Julia,35,Phoenix
Nina,70,New York
Nina,44,Phoenix
Charlie,32,San Diego
Julia,56,New York
Paula,55,Los Angeles
Paula,63,Phoenix
Julia,43,New York
Quinn,55,Los Angeles
Tina,21,Dallas
Tina,61,New York
Steve,26,New York
Nina,58,Los Angeles
Julia,62,New York
Fiona,54,Chicago
Paula,41,Philadelphia
Nina,33,Chicago
Ian,26,Houston
Rachel,29,Houston
Julia,53,Dallas
Bob,45,Houston
Nina,21,San Diego
Alice,68,New York
Quinn,33,San Jose
Hannah,60,San Antonio
Charlie,55,Dallas
Oscar,42,Phoenix
