Name,Age,City
Fiona,31,Dallas
Charlie,42,Phoenix
Fiona,45,New York
Mike,32,San Diego
George,32,Los Angeles
Bob,20,San Diego
Rachel,46,New York
Laura,40,Los Angeles
Tina,64,New York
Ethan,45,New York
Rachel,41,Phoenix
Rachel,25,New York
Tina,28,Dallas
Ian,37,Los Angeles
Paula,66,Houston
Nina,68,Phoenix
Paula,60,Phoenix
Laura,66,Houston
Charlie,32,San Jose
George,22,Houston
Fiona,32,Philadelphia
Diana,27,Houston
Fiona,30,San Diego
George,35,Dallas
Oscar,36,Philadelphia
Julia,37,San Jose
Nina,27,Phoenix
Hannah,49,Dallas
Rachel,66,San Diego
Fiona,26,San Jose
Paula,39,San Jose
Laura,65,San Diego
Diana,38,Philadelphia
Rachel,48,Los Angeles
Hannah,24,Chicago
Hannah,41,Philadelphia
Ethan,65,Phoenix
Ethan,46,San Antonio
Ian,58,New York
Charlie,51,Los Angeles
Ethan,40,San Jose
Oscar,27,Houston
Hannah,44,New York
Julia,60,San Diego
Steve,30,Los Angeles
Ian,45,Philadelphia
Mike,21,San Jose
Julia,61,San Jose
Julia,62,New York
Steve,27,Los Angeles
Steve,68,San Jose
Mike,44,New York
Rachel,66,Houston
George,46,San Diego
Ethan,61,Dallas
Tina,30,San Jose
Julia,30,Philadelphia
Hannah,60,Philadelphia
George,68,San Jose
Tina,24,Los Angeles
Nina,68,San Jose
Alice,48,Dallas
Oscar,23,San Jose
Fiona,41,San Diego
Laura,59,Houston
Mike,41,New York
Julia,30,Houston
Steve,57,Chicago
Hannah,39,San Diego
Julia,44,San Antonio
Hannah,44,Los Angeles
Paula,34,Phoenix
Quinn,31,New York
Julia,24,Houston
Hannah,40,Houston
Mike,58,Chicago
Quinn,42,Philadelphia
Bob,42,Dallas
Laura,50,San Diego
Mike,43,Dallas
Oscar,32,San Jose
Julia,35,Phoenix
Fiona,35,Philadelphia
Oscar,60,Houston
Charlie,68,New York
George,42,San Diego
George,41,San Antonio
Oscar,43,San Jose
Hannah,45,San Jose
Mike,47,San Jose
Rachel,41,Phoenix
Ethan,67,Houston
Steve,42,Los Angeles
Rachel,20,New York
Paula,62,Philadelphia
Fiona,43,Chicago
Diana,36,Houston
Hannah,65,Houston
Bob,51,San Antonio
Laura,48,San Diego
